timestamp,pm25,pm10,no2,o3,co,temperature,humidity,wind_speed,aqi
2024-01-01 00:00:00,38.96,78.4,17.99,28.83,3.03,23.56,85.05,4.97,78.8
2024-01-01 01:00:00,29.76,48.46,0.0,39.93,1.83,23.9,74.85,2.06,49.6
2024-01-01 02:00:00,47.68,78.18,20.53,37.28,8.96,22.87,82.33,8.02,79.9
2024-01-01 03:00:00,28.77,52.02,7.02,44.11,8.39,22.9,75.77,0.14,53.0
2024-01-01 04:00:00,22.54,49.1,12.99,51.01,2.48,24.98,63.08,9.71,49.1
2024-01-01 05:00:00,29.87,52.27,5.83,49.99,5.11,30.15,71.81,10.26,53.2
2024-01-01 06:00:00,31.48,66.24,13.78,47.6,3.81,33.36,57.51,9.92,66.9
2024-01-01 07:00:00,70.75,129.51,28.63,53.3,12.34,36.2,44.24,9.88,136.5
2024-01-01 08:00:00,126.58,217.72,55.79,46.22,19.67,33.42,56.72,6.26,306.0
2024-01-01 09:00:00,121.95,196.69,73.11,49.93,26.76,37.68,49.76,10.39,302.5
2024-01-01 10:00:00,61.76,102.49,24.8,41.48,5.54,32.62,48.14,5.62,106.8
2024-01-01 11:00:00,36.43,63.26,22.31,25.06,7.78,38.58,35.02,6.91,64.0
2024-01-01 12:00:00,35.26,54.15,25.84,29.04,4.29,39.68,43.96,9.69,59.6
2024-01-01 13:00:00,24.14,49.09,4.96,31.74,5.7,43.11,39.66,5.02,49.1
2024-01-01 14:00:00,35.39,69.86,8.27,12.25,6.85,39.0,41.84,9.17,70.5
2024-01-01 15:00:00,33.07,52.78,11.52,18.64,6.81,39.27,41.23,7.65,56.0
2024-01-01 16:00:00,37.75,65.58,19.19,15.29,9.31,36.23,59.09,7.79,66.3
2024-01-01 17:00:00,53.32,80.32,18.49,4.6,8.15,34.38,52.47,9.75,89.1
2024-01-01 18:00:00,95.12,185.93,48.67,14.11,12.92,28.26,58.14,10.08,217.9
2024-01-01 19:00:00,115.1,223.51,75.65,11.15,20.1,27.21,61.3,8.69,283.8
2024-01-01 20:00:00,82.68,124.91,51.4,15.05,20.01,26.09,74.89,10.66,175.8
2024-01-01 21:00:00,42.61,73.37,18.5,16.32,6.68,25.65,75.02,3.0,73.9
2024-01-01 22:00:00,38.63,76.79,22.53,13.11,6.53,24.68,78.87,7.08,77.3
2024-01-01 23:00:00,42.36,78.42,29.51,29.76,8.49,24.79,75.52,6.17,78.8
2024-01-02 00:00:00,30.16,55.07,14.37,33.43,0.0,21.21,78.33,12.46,56.0
2024-01-02 01:00:00,35.69,58.92,29.32,44.39,2.67,23.64,76.08,9.98,60.3
2024-01-02 02:00:00,27.4,41.58,15.56,42.52,5.83,23.4,76.0,8.11,45.7
2024-01-02 03:00:00,20.02,40.05,11.86,52.4,0.64,24.37,81.06,4.52,40.0
2024-01-02 04:00:00,38.53,70.58,16.56,31.11,2.17,23.01,64.5,12.4,71.2
2024-01-02 05:00:00,46.67,71.48,19.54,61.06,8.57,29.85,67.65,4.9,78.2
2024-01-02 06:00:00,39.71,85.7,16.84,57.93,3.79,32.37,62.35,8.54,86.0
2024-01-02 07:00:00,67.19,143.36,21.67,50.36,7.84,34.77,59.13,4.57,129.6
2024-01-02 08:00:00,134.05,270.04,74.06,43.18,26.71,31.42,46.9,4.66,311.7
2024-01-02 09:00:00,136.41,293.49,83.81,41.94,31.02,36.7,52.68,5.91,313.5
2024-01-02 10:00:00,71.08,153.92,32.9,35.91,13.41,40.34,40.43,9.7,137.6
2024-01-02 11:00:00,45.09,92.55,11.26,35.13,9.77,38.43,40.49,5.88,92.7
2024-01-02 12:00:00,38.47,74.36,9.89,31.22,2.54,40.12,48.36,11.04,74.9
2024-01-02 13:00:00,30.24,65.41,14.69,31.62,3.47,41.68,48.9,6.44,66.1
2024-01-02 14:00:00,34.36,51.81,10.13,21.61,5.45,38.91,46.86,1.94,58.1
2024-01-02 15:00:00,26.96,56.83,10.25,20.78,6.9,35.11,49.39,8.74,57.7
2024-01-02 16:00:00,48.51,88.2,28.48,17.04,4.62,34.78,57.88,1.92,88.4
2024-01-02 17:00:00,52.8,86.16,28.35,1.63,5.61,36.82,62.09,4.98,88.2
2024-01-02 18:00:00,76.71,163.98,44.4,3.4,21.96,30.85,60.59,8.03,156.1
2024-01-02 19:00:00,107.53,189.96,64.92,12.08,13.98,27.73,66.68,7.16,258.8
2024-01-02 20:00:00,80.75,146.58,30.47,13.28,10.63,29.12,78.71,4.1,169.5
2024-01-02 21:00:00,43.01,84.74,20.19,23.61,13.79,28.85,73.48,10.4,85.0
2024-01-02 22:00:00,41.26,82.22,21.86,25.29,2.53,25.84,76.9,7.7,82.6
2024-01-02 23:00:00,15.02,30.77,11.2,26.48,0.22,23.16,81.31,6.89,30.8
2024-01-03 00:00:00,15.96,31.02,5.49,31.83,0.0,24.49,78.55,14.19,31.0
2024-01-03 01:00:00,31.7,51.37,7.26,32.38,2.8,21.2,76.62,2.81,53.8
2024-01-03 02:00:00,52.25,79.82,28.38,36.5,12.37,25.77,74.49,4.42,87.3
2024-01-03 03:00:00,39.79,65.51,28.23,42.59,8.97,24.84,77.61,8.09,67.0
2024-01-03 04:00:00,62.28,98.1,32.64,39.29,8.24,26.62,70.76,3.29,108.5
2024-01-03 05:00:00,28.91,49.99,10.8,53.87,5.63,31.88,67.05,3.99,50.0
2024-01-03 06:00:00,52.84,95.22,20.57,45.62,7.26,27.17,66.71,7.1,95.3
2024-01-03 07:00:00,69.39,115.6,20.64,46.19,6.26,31.34,57.58,4.09,132.0
2024-01-03 08:00:00,128.53,202.87,53.65,44.44,15.53,36.05,54.04,14.15,307.5
2024-01-03 09:00:00,140.67,238.58,71.85,39.13,18.17,36.75,50.57,3.83,316.7
2024-01-03 10:00:00,73.99,118.98,24.57,36.74,10.25,36.72,50.21,10.87,147.2
2024-01-03 11:00:00,46.07,88.32,11.49,30.01,11.71,37.51,45.05,6.46,88.6
2024-01-03 12:00:00,45.31,72.39,25.67,27.56,4.02,40.08,49.17,0.73,76.0
2024-01-03 13:00:00,37.82,79.96,14.55,31.33,1.71,38.02,44.71,12.87,80.4
2024-01-03 14:00:00,37.51,66.35,16.28,21.18,5.29,38.25,49.26,3.94,67.0
2024-01-03 15:00:00,30.99,63.72,19.89,16.27,5.72,34.95,53.42,4.0,64.4
2024-01-03 16:00:00,36.14,73.49,17.96,17.87,2.55,37.57,50.78,5.5,74.0
2024-01-03 17:00:00,40.83,81.88,28.0,15.72,5.49,30.57,48.45,12.24,82.2
2024-01-03 18:00:00,90.78,145.92,42.92,22.23,7.8,34.56,64.95,7.76,203.6
2024-01-03 19:00:00,121.52,195.25,50.76,20.12,22.96,28.67,66.94,10.83,302.2
2024-01-03 20:00:00,69.66,107.16,35.55,7.62,8.63,26.53,74.14,11.45,132.9
2024-01-03 21:00:00,38.43,69.82,8.49,15.11,0.0,25.23,73.57,9.44,70.4
2024-01-03 22:00:00,52.13,78.68,31.65,18.66,2.71,24.07,78.38,4.63,87.2
2024-01-03 23:00:00,35.94,72.78,12.47,25.6,3.97,22.18,75.82,7.37,73.3
2024-01-04 00:00:00,32.31,60.33,21.49,36.23,0.0,23.57,78.73,6.48,61.1
2024-01-04 01:00:00,39.36,66.49,17.6,34.83,6.06,25.8,83.0,3.05,67.2
2024-01-04 02:00:00,29.89,58.49,13.55,38.8,5.31,24.53,78.85,12.76,59.3
2024-01-04 03:00:00,25.54,41.98,1.56,52.97,4.87,27.43,71.21,2.07,42.6
2024-01-04 04:00:00,20.6,39.9,11.74,36.91,6.07,28.93,70.85,5.82,39.9
2024-01-04 05:00:00,46.95,71.16,28.64,52.68,6.16,28.55,66.75,8.22,78.7
2024-01-04 06:00:00,34.31,51.91,15.81,50.98,2.39,35.0,65.59,5.36,58.0
2024-01-04 07:00:00,73.06,110.14,33.02,57.17,10.42,30.5,54.22,7.09,144.1
2024-01-04 08:00:00,130.89,203.92,59.32,44.26,14.08,37.67,48.58,9.01,309.3
2024-01-04 09:00:00,110.45,202.47,55.6,45.04,11.72,36.89,62.07,6.66,268.5
2024-01-04 10:00:00,78.66,123.85,21.85,39.83,19.04,34.8,44.41,8.75,162.6
2024-01-04 11:00:00,43.96,87.32,7.96,40.9,4.05,39.96,45.5,2.33,87.6
2024-01-04 12:00:00,38.26,78.98,22.09,34.17,5.6,35.94,43.71,9.86,79.4
2024-01-04 13:00:00,35.82,54.57,20.47,23.76,8.7,40.08,44.75,7.1,60.5
2024-01-04 14:00:00,43.05,65.69,18.04,17.83,3.39,35.83,52.8,6.09,72.3
2024-01-04 15:00:00,35.85,61.69,13.3,21.08,7.22,38.42,49.68,10.73,62.5
2024-01-04 16:00:00,30.87,56.68,22.12,10.45,7.59,33.24,56.97,5.95,57.5
2024-01-04 17:00:00,38.6,65.67,5.34,4.64,9.52,32.63,57.09,9.36,66.4
